iter	RMSE
239	6.218507314
240	6.191476784
241	6.162413352
242	6.137021498
243	6.114595573
244	6.086699106
245	6.059698503
246	6.032853477
247	6.003169591
248	5.978658526
249	5.950784923
250	5.926110933
251	5.901704766
252	5.875636718
253	5.8536877
254	5.825867468
255	5.801761996
256	5.776224266
257	5.751739749
258	5.730240244
259	5.708313028
260	5.684839095
261	5.663091151
262	5.645171759
263	5.623731533
264	5.604685009
265	5.583259198
266	5.563697542
267	5.542787824
268	5.519663741
269	5.49656949
270	5.473995673
271	5.448643948
272	5.429358731
273	5.407795905
274	5.386435752
275	5.369588495
276	5.34860065
277	5.33039279
278	5.311060848
279	5.292251045
280	5.271779028
281	5.253573559
282	5.234626956
283	5.216957367
284	5.2001597
285	5.18041238
286	5.162745671
287	5.142434364
288	5.123875059
289	5.104194022
290	5.086171088
291	5.065706383
292	5.046679426
293	5.029310399
294	5.011349759
295	4.995226939
296	4.974964384
297	4.961135467
298	4.941830608
299	4.925618662
300	4.911970549
301	4.896940782
302	4.8793842
303	4.862136463
304	4.846915019
305	4.828965271
306	4.813591221
307	4.797541402
308	4.781101253
309	4.762416495
310	4.745487404
311	4.728872261
312	4.713337913
313	4.697516403
314	4.681355615
315	4.665943806
316	4.650973294
317	4.636994021
318	4.620642751
319	4.608773013
320	4.594122218
321	4.577156453
322	4.562944499
323	4.547568139
324	4.533080539
325	4.517041533
326	4.501454069
327	4.485812069
328	4.471490639
329	4.457348073
330	4.444607597
331	4.432437439
332	4.418087271
333	4.403195446
334	4.387299487
335	4.374897957
336	4.359495712
337	4.346598943
338	4.333990979
339	4.321303527
340	4.307243982
341	4.295246747
342	4.284079595
343	4.27091127
344	4.258822503
345	4.247031045
346	4.239566845
347	4.225553962
348	4.211514643
349	4.197635114
350	4.185215733
351	4.172447254
352	4.160594318
353	4.148489787
354	4.138563814
355	4.129476789
356	4.118245569
357	4.106366806
358	4.093264385
359	4.086999178
360	4.077384586
361	4.066077649
362	4.055857681
363	4.044707602
364	4.033165625
365	4.020818123
366	4.011703645
367	4.000364838
368	3.988996985
369	3.979013369
370	3.96903582
371	3.959669103
372	3.949520768
373	3.940926382
374	3.93273464
375	3.922754326
376	3.912718797
377	3.900860094
378	3.892519377
379	3.887170839
380	3.876340317
381	3.865574769
382	3.858396088
383	3.849751244
384	3.839733019
385	3.827693243
386	3.818189281
387	3.809658113
388	3.799954362
389	3.79314572
390	3.789333789
391	3.779105556
392	3.770983345
393	3.761397597
394	3.754932925
395	3.747079477
396	3.73951134
397	3.734770481
398	3.72595873
399	3.714804802
400	3.707025387
401	3.70268375
402	3.69524961
403	3.683897373
404	3.676628628
405	3.669859176
406	3.661876712
407	3.652130581
408	3.642529128
409	3.633442287
410	3.623991865
411	3.616138575
412	3.608413875
413	3.600151079
414	3.595416638
415	3.58499052
416	3.577384183
417	3.569572748
418	3.566449877
419	3.560486693
420	3.55026437
421	3.540710535
422	3.533762007
423	3.528186566
424	3.518471831
425	3.510081109
426	3.501018145
427	3.49365541
428	3.48916419
429	3.4832885
430	3.477362082
431	3.474079826
432	3.467382562
433	3.459061404
434	3.451772764
435	3.44547452
436	3.439105799
437	3.433095295
438	3.425826063
439	3.418426267
440	3.411094125
441	3.403221988
442	3.39662961
443	3.392022698
444	3.385026588
445	3.379503067
446	3.370696959
447	3.36681162
448	3.362514465
449	3.357026795
450	3.351043447
451	3.345371724
452	3.33719951
453	3.329574159
454	3.319857255
455	3.313642406
456	3.306846554
457	3.301237549
458	3.294786667
459	3.291692404
460	3.285354531
461	3.277402811
462	3.271960916
463	3.264706043
464	3.262041807
465	3.254810187
466	3.24764133
467	3.243170709
468	3.236038939
469	3.230903947
470	3.226531722
471	3.21960411
472	3.217330822
473	3.210359546
474	3.202953935
475	3.199850917
476	3.196716898
477	3.189853707
478	3.185817564
479	3.179195646
480	3.171786054
481	3.168625544
482	3.164150182
483	3.161298879
484	3.157186338
485	3.153777476
486	3.146849681
487	3.144173672
488	3.141590771
489	3.135497975
490	3.131334525
491	3.124223543
492	3.118177347
493	3.115096233
494	3.110182356
495	3.103720407
496	3.101518737
497	3.095057087
498	3.090607821
499	3.087969153
500	3.081214588
501	3.078811825
502	3.07414545
503	3.070297834
504	3.066204551
505	3.061094462
506	3.054360035
507	3.048428068
508	3.046073933
509	3.041535275
510	3.037085398
511	3.03427035
512	3.0282736
513	3.026004873
514	3.021216323
515	3.016531994
516	3.011116506
517	3.009133129
518	3.002738871
519	3.000626269
520	2.998538148
521	2.992288975
522	2.988521545
523	2.981570505
524	2.97639022
525	2.971714558
526	2.966815131
527	2.962620836
528	2.960279164
529	2.957250835
530	2.953452443
531	2.949974265
532	2.946893134
533	2.943241151
534	2.939664816
535	2.935425128
536	2.93186342
537	2.927009541
538	2.923161129
539	2.917562462
540	2.912224461
541	2.909874467
542	2.905998016
543	2.902059789
544	2.9000237
545	2.896857154
546	2.893540665
547	2.890408552
548	2.88670091
549	2.882457127
550	2.880273071
551	2.874665008
552	2.872974903
553	2.86822509
554	2.862891393
555	2.858472933
556	2.85614592
557	2.852634334
558	2.850237126
559	2.848410197
560	2.843138153
561	2.841202178
562	2.836313711
563	2.831654296
564	2.828095535
565	2.826323695
566	2.820089547
567	2.814309066
568	2.812594699
569	2.810080927
570	2.808267652
571	2.806461406
572	2.804545999
573	2.800742739
574	2.795318012
575	2.792369135
576	2.79085216
577	2.789211153
578	2.784235995
579	2.782345165
580	2.780330626
581	2.777236428
582	2.775372708
583	2.771839344
584	2.768981047
585	2.764560315
586	2.75915602
587	2.757126336
588	2.753959267
589	2.752080743
590	2.748528523
591	2.746552531
592	2.745052429
593	2.740029151
594	2.736814108
595	2.734711673
596	2.732954679
597	2.729781695
598	2.726937205
599	2.72524954
600	2.720620112
601	2.71738595
602	2.712996898
603	2.710159334
604	2.706306471
605	2.701135922
606	2.698935673
607	2.696859295
608	2.695042033
609	2.690511797
610	2.688830236
611	2.686956458
612	2.684402202
613	2.682710025
614	2.681320803
615	2.678709048
616	2.673629716
617	2.669328374
618	2.666144313
619	2.661792952
620	2.659519652
621	2.655898842
622	2.654154213
623	2.65100321
624	2.646013629
625	2.642229143
626	2.640640356
627	2.638970463
628	2.637381085
629	2.634505906
630	2.629819055
631	2.626209757
632	2.6248179
633	2.621607778
634	2.61994718
635	2.618407969
636	2.616730322
637	2.615267228
638	2.612698149
639	2.607269242
640	2.602170291
641	2.600107388
642	2.596924356
643	2.593578372
644	2.592155169
645	2.59062201
646	2.588903061
647	2.587496669
648	2.583653259
649	2.577940127
650	2.574051254
651	2.570755712
652	2.566428789
653	2.56378106
654	2.562550072
655	2.558401759
656	2.555706738
657	2.551867145
658	2.549985794
659	2.547386645
660	2.542478094
661	2.538926637
662	2.534263707
663	2.530716161
664	2.527901807
665	2.523022702
666	2.521544481
667	2.517045245
668	2.515732593
669	2.514185704
670	2.512286348
671	2.510567486
672	2.50580852
673	2.503345018
674	2.501248141
675	2.495266984
676	2.493972358
677	2.492625351
678	2.490353723
679	2.484355526
680	2.483056982
681	2.481962611
682	2.480676549
683	2.476685173
684	2.475427468
685	2.473935225
686	2.470035628
687	2.468606556
688	2.465960264
689	2.464588899
690	2.463091578
691	2.461253523
692	2.459644892
693	2.457304803
694	2.455070363
695	2.452258336
696	2.447712849
697	2.446649687
698	2.445402557
699	2.439822883
700	2.438347685
701	2.436241435
702	2.432551519
703	2.427806614
704	2.426452408
705	2.425187151
706	2.423103782
707	2.419467301
708	2.418356849
709	2.41683494
710	2.415659817
711	2.413946544
712	2.410810746
713	2.40876825
714	2.404379603
715	2.40338072
716	2.401870085
717	2.399965687
718	2.397579734
719	2.39253592
720	2.391394351
721	2.39041781
722	2.387754857
723	2.386524653
724	2.385027645
725	2.382930993
726	2.381334211
727	2.376930801
728	2.37278637
729	2.369319683
730	2.367132253
731	2.364027961
732	2.362617769
733	2.360006755
734	2.359132319
735	2.35654279
736	2.354617108
737	2.353430758
738	2.350204889
739	2.347833367
740	2.343004567
741	2.339542048
742	2.335172891
743	2.331412817
744	2.328175355
745	2.325907548
746	2.323681456
747	2.31994608
748	2.318354087
749	2.313646906
750	2.312715949
751	2.310574859
752	2.308595181
753	2.305748314
754	2.301402301
755	2.299136057
756	2.294070766
757	2.292817483
758	2.291570086
759	2.290672524
760	2.289705011
761	2.286482222
762	2.285593464
763	2.284470769
764	2.282524458
765	2.278770931
766	2.275153241
767	2.274182843
768	2.272833969
769	2.271594605
770	2.269504154
771	2.267929998
772	2.265755928
773	2.260921319
774	2.259559997
775	2.25770227
776	2.256842371
777	2.256052726
778	2.254753007
779	2.251682502
780	2.250693178
781	2.249571024
782	2.247570509
783	2.24132507
784	2.23948595
785	2.237791294
786	2.236770566
787	2.234767394
788	2.230503161
789	2.225445376
790	2.22432884
791	2.223239225
792	2.218590016
793	2.214695077
794	2.213916142
795	2.212688029
796	2.211603413
797	2.209921296
798	2.20552414
799	2.204510264
800	2.20258094
801	2.201820795
802	2.200744032
803	2.19900946
804	2.198029162
805	2.197026704
806	2.195961496
807	2.19333542
808	2.188751747
809	2.187446663
810	2.183300903
811	2.182452464
812	2.178821001
813	2.177646917
814	2.176825352
815	2.175854192
816	2.175037919
817	2.170175565
818	2.165228596
819	2.164276479
820	2.159946748
821	2.155177661
822	2.154239903
823	2.151066861
824	2.149320902
825	2.148446963
826	2.147498626
827	2.146685939
828	2.140640834
829	2.136274563
830	2.135078202
831	2.130738476
832	2.126731338
833	2.121485035
834	2.117264181
835	2.115719122
836	2.11415199
837	2.113418783
838	2.108831496
839	2.10793458
840	2.102827497
841	2.101220994
842	2.100329992
843	2.098880024
844	2.098123169
845	2.094863991
846	2.093552958
847	2.08868526
848	2.087860388
849	2.086843632
850	2.085861449
851	2.085044744
852	2.082208743
853	2.081348842
854	2.07763387
855	2.072638818
856	2.069294518
857	2.06730249
858	2.064107879
859	2.063483048
860	2.059929308
861	2.05804629
862	2.057337129
863	2.052761168
864	2.047970007
865	2.045107088
866	2.041605039
867	2.040897078
868	2.036233073
869	2.035377762
870	2.031449817
871	2.030602576
872	2.029837048
873	2.02907701
874	2.02596509
875	2.022870812
876	2.022201009
877	2.021304392
878	2.016489854
879	2.012013534
880	2.008724928
881	2.007900759
882	2.004884235
883	2.003757048
884	2.003047736
885	2.001736472
886	2.001069889
887	1.997635793
888	1.996906386
889	1.993077706
890	1.990063192
891	1.986034288
892	1.985317524
893	1.982106308
894	1.981321611
895	1.98054172
896	1.975617288
897	1.974894113
898	1.97421341
899	1.973407895
900	1.96958592
901	1.966590512
902	1.965822617
903	1.963202839
904	1.960107317
905	1.956813714
906	1.952578528
907	1.948946978
908	1.948171434
909	1.94741811
910	1.944696581
911	1.941337624
912	1.93724313
913	1.933827725
914	1.930544343
915	1.927521471
916	1.92677664
917	1.92447098
918	1.921251174
919	1.920643417
920	1.918119355
921	1.917384848
922	1.916046779
923	1.911831867
924	1.909424104
925	1.908825461
926	1.90810187
927	1.903204686
928	1.900817587
929	1.896860719
930	1.896267594
931	1.895547471
932	1.894670066
933	1.894084506
934	1.893375798
935	1.889101396
936	1.885854395
937	1.885151325
938	1.884452608
939	1.880258492
940	1.879562363
941	1.876561064
942	1.872386133
943	1.869634658
944	1.865507863
945	1.861887001
946	1.861197503
947	1.860512269
948	1.85983127
949	1.859154478
950	1.858481865
951	1.855640715
952	1.85497134
953	1.851014939
954	1.847486516
955	1.846824509
956	1.842425531
957	1.841765869
958	1.841110274
959	1.838875512
960	1.837580006
961	1.835079394
962	1.832069749
963	1.828071166
964	1.827409965
965	1.826645973
966	1.822939102
967	1.820226163
968	1.819686931
969	1.81905041
970	1.818417812
971	1.817658285
972	1.813924525
973	1.811372522
974	1.807710449
975	1.804411908
976	1.801265372
977	1.798046911
978	1.797424604
979	1.796806131
980	1.796191466
981	1.794866459
982	1.792475752
983	1.789026104
984	1.788418966
985	1.784823129
986	1.780641947
987	1.780125231
988	1.777940665
989	1.777412981
990	1.776902285
991	1.772808962
992	1.772077822
993	1.769524448
994	1.768926013
995	1.768317383
996	1.767726311
997	1.767019763
998	1.763325308
999	1.760755264
