system:index,urban_class,.geo
"4304,1586_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33542810268898,28.503175261394084]}"
"4305,1586_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.35380282617058,28.503175261394084]}"
"4306,1586_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.37217754965215,28.503175261394084]}"
"4307,1586_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38947140704657,28.503175261394084]}"
"4308,1586_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.40784613052817,28.503175261394084]}"
"4274,1587_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.79696430557576,28.521866475190972]}"
"4275,1587_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.81534105212111,28.521866475190972]}"
"4276,1587_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.83263681357556,28.521866475190972]}"
"4277,1587_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.8510135601209,28.521866475190972]}"
"4278,1587_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.86939030666626,28.521866475190972]}"
"4279,1587_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.88668606812072,28.521866475190972]}"
"4280,1587_0",23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.90506281466607,28.521866475190972]}"
"4281,1587_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.92343956121142,28.521866475190972]}"
"4282,1587_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94073532266587,28.521866475190972]}"
"4283,1587_0",23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95911206921123,28.521866475190972]}"
"4284,1587_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.97640783066568,28.521866475190972]}"
"4285,1587_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.99478457721104,28.521866475190972]}"
"4286,1587_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.01316132375639,28.521866475190972]}"
"4287,1587_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03045708521083,28.521866475190972]}"
"4288,1587_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04883383175618,28.521866475190972]}"
"4289,1587_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.06612959321063,28.521866475190972]}"
"4290,1587_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08450633975599,28.521866475190972]}"
"4291,1587_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.10288308630135,28.521866475190972]}"
"4292,1587_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1201788477558,28.521866475190972]}"
"4293,1587_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13855559430114,28.521866475190972]}"
"4294,1587_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1569323408465,28.521866475190972]}"
"4295,1587_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17422810230096,28.521866475190972]}"
"4296,1587_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.19260484884632,28.521866475190972]}"
"4297,1587_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.20990061030075,28.521866475190972]}"
"4298,1587_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.2282773568461,28.521866475190972]}"
"4299,1587_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.24665410339146,28.521866475190972]}"
"4300,1587_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.26394986484591,28.521866475190972]}"
"4301,1587_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.28232661139126,28.521866475190972]}"
"4302,1587_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30070335793661,28.521866475190972]}"
"4303,1587_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.31799911939106,28.521866475190972]}"
"4304,1587_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33637586593642,28.521866475190972]}"
"4305,1587_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.35367162739085,28.521866475190972]}"
"4306,1587_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.37204837393621,28.521866475190972]}"
"4307,1587_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.39042512048157,28.521866475190972]}"
"4308,1587_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.40772088193603,28.521866475190972]}"
"4274,1588_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.79747437342331,28.539709259230364]}"
"4275,1588_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.8147719541033,28.539709259230364]}"
"4276,1588_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.83315063357581,28.539709259230364]}"
"4277,1588_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.8504482142558,28.539709259230364]}"
"4278,1588_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.86882689372831,28.539709259230364]}"
"4279,1588_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.88720557320082,28.539709259230364]}"
"4280,1588_0",23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.90450315388081,28.539709259230364]}"
"4281,1588_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9228818333533,28.539709259230364]}"
"4282,1588_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9412605128258,28.539709259230364]}"
"4283,1588_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95855809350581,28.539709259230364]}"
"4284,1588_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9769367729783,28.539709259230364]}"
"4285,1588_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9942343536583,28.539709259230364]}"
"4286,1588_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0126130331308,28.539709259230364]}"
"4287,1588_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03099171260331,28.539709259230364]}"
"4288,1588_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04828929328329,28.539709259230364]}"
"4289,1588_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0666679727558,28.539709259230364]}"
"4290,1588_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0850466522283,28.539709259230364]}"
"4291,1588_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.10234423290831,28.539709259230364]}"
"4292,1588_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12072291238078,28.539709259230364]}"
"4293,1588_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13802049306081,28.539709259230364]}"
"4294,1588_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1563991725333,28.539709259230364]}"
"4295,1588_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1747778520058,28.539709259230364]}"
"4296,1588_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1920754326858,28.539709259230364]}"
"4297,1588_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.2104541121583,28.539709259230364]}"
"4298,1588_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.2277516928383,28.539709259230364]}"
"4299,1588_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.24613037231079,28.539709259230364]}"
"4300,1588_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.26450905178329,28.539709259230364]}"
"4301,1588_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.28180663246329,28.539709259230364]}"
"4302,1588_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30018531193578,28.539709259230364]}"
"4303,1588_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.31856399140828,28.539709259230364]}"
"4304,1588_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33586157208829,28.539709259230364]}"
"4305,1588_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.3542402515608,28.539709259230364]}"
"4306,1588_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.3715378322408,28.539709259230364]}"
"4307,1588_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.3899165117133,28.539709259230364]}"
"4308,1588_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.4082951911858,28.539709259230364]}"
"4274,1589_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.79690907375696,28.557553187904247]}"
"4275,1589_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.81528968793653,28.557553187904247]}"
"4276,1589_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.83258908951731,28.557553187904247]}"
"4277,1589_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85096970369689,28.557553187904247]}"
"4278,1589_0",23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.86935031787647,28.557553187904247]}"
"4279,1589_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.88664971945724,28.557553187904247]}"
"4280,1589_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9050303336368,28.557553187904247]}"
"4281,1589_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.92232973521757,28.557553187904247]}"
"4282,1589_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94071034939715,28.557553187904247]}"
"4283,1589_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95909096357674,28.557553187904247]}"
"4284,1589_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.97639036515751,28.557553187904247]}"
"4285,1589_0",23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.99477097933708,28.557553187904247]}"
"4286,1589_0",23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.01315159351665,28.557553187904247]}"
"4287,1589_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03045099509742,28.557553187904247]}"
"4288,1589_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.048831609277,28.557553187904247]}"
"4289,1589_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.06613101085779,28.557553187904247]}"
"4290,1589_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08451162503736,28.557553187904247]}"
"4291,1589_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.10289223921691,28.557553187904247]}"
"4292,1589_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1201916407977,28.557553187904247]}"
"4293,1589_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13857225497728,28.557553187904247]}"
"4294,1589_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.15587165655805,28.557553187904247]}"
"4295,1589_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17425227073764,28.557553187904247]}"
"4296,1589_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1926328849172,28.557553187904247]}"
"4297,1589_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.20993228649797,28.557553187904247]}"
"4298,1589_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.22831290067755,28.557553187904247]}"
"4299,1589_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.24669351485713,28.557553187904247]}"
"4300,1589_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.2639929164379,28.557553187904247]}"
"4301,1589_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.28237353061746,28.557553187904247]}"
"4302,1589_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.29967293219825,28.557553187904247]}"
"4303,1589_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.31805354637781,28.557553187904247]}"
"4304,1589_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.3364341605574,28.557553187904247]}"
"4305,1589_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.35373356213817,28.557553187904247]}"
"4306,1589_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.37211417631775,28.557553187904247]}"
"4307,1589_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38941357789852,28.557553187904247]}"
"4308,1589_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.4077941920781,28.557553187904247]}"
"4274,1590_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.79743072163743,28.5753982621921]}"
"4275,1590_0",23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.81473194579556,28.5753982621921]}"
"4276,1590_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.83311449646355,28.5753982621921]}"
"4277,1590_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85041572062167,28.5753982621921]}"
"4278,1590_0",23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.86879827128968,28.5753982621921]}"
"4279,1590_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.8871808219577,28.5753982621921]}"
"4280,1590_0",23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.90448204611582,28.5753982621921]}"
"4281,1590_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.92286459678382,28.5753982621921]}"
"4282,1590_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94016582094194,28.5753982621921]}"
"4283,1590_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95854837160995,28.5753982621921]}"
"4284,1590_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.97693092227796,28.5753982621921]}"
"4285,1590_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.99423214643608,28.5753982621921]}"
"4286,1590_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.01261469710408,28.5753982621921]}"
"4287,1590_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03099724777209,28.5753982621921]}"
"4288,1590_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04829847193022,28.5753982621921]}"
"4289,1590_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.06668102259823,28.5753982621921]}"
"4290,1590_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08398224675635,28.5753982621921]}"
"4291,1590_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.10236479742437,28.5753982621921]}"
"4292,1590_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12074734809238,28.5753982621921]}"
"4293,1590_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13804857225048,28.5753982621921]}"
"4294,1590_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.15643112291849,28.5753982621921]}"
"4295,1590_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17373234707661,28.5753982621921]}"
"4296,1590_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.19211489774462,28.5753982621921]}"
"4297,1590_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21049744841262,28.5753982621921]}"
"4298,1590_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.22779867257076,28.5753982621921]}"
"4299,1590_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.24618122323876,28.5753982621921]}"
"4300,1590_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.26456377390677,28.5753982621921]}"
"4301,1590_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.28186499806489,28.5753982621921]}"
"4302,1590_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.3002475487329,28.5753982621921]}"
"4303,1590_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.31754877289103,28.5753982621921]}"
"4304,1590_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33593132355904,28.5753982621921]}"
"4305,1590_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.35431387422705,28.5753982621921]}"
"4306,1590_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.37161509838516,28.5753982621921]}"
"4307,1590_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38999764905317,28.5753982621921]}"
"4308,1590_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.40729887321129,28.5753982621921]}"
"4274,1591_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.79687678152678,28.593244483074074]}"
"4275,1591_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.81526127046602,28.593244483074074]}"
"4276,1591_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.8325643188794,28.593244483074074]}"
"4277,1591_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85094880781863,28.593244483074074]}"
"4278,1591_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.86825185623202,28.593244483074074]}"
"4279,1591_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.88663634517124,28.593244483074074]}"
"4280,1591_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.90502083411047,28.593244483074074]}"
"4281,1591_0",23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.92232388252386,28.593244483074074]}"
"4282,1591_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9407083714631,28.593244483074074]}"
"4283,1591_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95909286040232,28.593244483074074]}"
"4284,1591_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.97639590881572,28.593244483074074]}"
"4285,1591_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.99478039775494,28.593244483074074]}"
"4286,1591_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.01208344616835,28.593244483074074]}"
"4287,1591_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03046793510757,28.593244483074074]}"
"4288,1591_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04885242404681,28.593244483074074]}"
"4289,1591_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0661554724602,28.593244483074074]}"
"4290,1591_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08453996139943,28.593244483074074]}"
"4291,1591_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.10184300981281,28.593244483074074]}"
"4292,1591_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12022749875204,28.593244483074074]}"
"4293,1591_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13861198769128,28.593244483074074]}"
"4294,1591_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.15591503610467,28.593244483074074]}"
"4295,1591_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17429952504389,28.593244483074074]}"
"4296,1591_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.19268401398313,28.593244483074074]}"
"4297,1591_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.20998706239651,28.593244483074074]}"
"4298,1591_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.22837155133574,28.593244483074074]}"
"4299,1591_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.24567459974914,28.593244483074074]}"
"4300,1591_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.26405908868838,28.593244483074074]}"
"4301,1591_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.28244357762759,28.593244483074074]}"
"4302,1591_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.299746626041,28.593244483074074]}"
"4303,1591_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.31813111498022,28.593244483074074]}"
"4304,1591_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33543416339361,28.593244483074074]}"
"4305,1591_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.35381865233283,28.593244483074074]}"
"4306,1591_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.37220314127208,28.593244483074074]}"
"4307,1591_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38950618968546,28.593244483074074]}"
"4308,1591_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.40789067862468,28.593244483074074]}"
"4274,1592_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.79632846949578,28.611091851530986]}"
"4275,1592_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.81471489849045,28.611091851530986]}"
"4276,1592_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.83310132748512,28.611091851530986]}"
"4277,1592_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85040620183304,28.611091851530986]}"
"4278,1592_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.86879263082773,28.611091851530986]}"
"4279,1592_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.88717905982242,28.611091851530986]}"
"4280,1592_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.90448393417033,28.611091851530986]}"
"4281,1592_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.922870363165,28.611091851530986]}"
"4282,1592_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94017523751295,28.611091851530986]}"
"4283,1592_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9585616665076,28.611091851530986]}"
"4284,1592_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9769480955023,28.611091851530986]}"
"4285,1592_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.99425296985022,28.611091851530986]}"
"4286,1592_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0126393988449,28.611091851530986]}"
"4287,1592_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.02994427319283,28.611091851530986]}"
"4288,1592_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0483307021875,28.611091851530986]}"
"4289,1592_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.06671713118217,28.611091851530986]}"
"4290,1592_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0840220055301,28.611091851530986]}"
"4291,1592_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.10240843452478,28.611091851530986]}"
"4292,1592_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1197133088727,28.611091851530986]}"
"4293,1592_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13809973786738,28.611091851530986]}"
"4294,1592_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.15648616686205,28.611091851530986]}"
"4295,1592_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17379104121,28.611091851530986]}"
"4296,1592_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.19217747020465,28.611091851530986]}"
"4297,1592_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21056389919934,28.611091851530986]}"
"4298,1592_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.22786877354729,28.611091851530986]}"
"4299,1592_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.24625520254195,28.611091851530986]}"
"4300,1592_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.26356007688987,28.611091851530986]}"
"4301,1592_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.28194650588456,28.611091851530986]}"
"4302,1592_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30033293487924,28.611091851530986]}"
"4303,1592_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.31763780922716,28.611091851530986]}"
"4304,1592_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33602423822182,28.611091851530986]}"
"4305,1592_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.35332911256975,28.611091851530986]}"
"4306,1592_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.37171554156444,28.611091851530986]}"
"4307,1592_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.39010197055912,28.611091851530986]}"
"4308,1592_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.40740684490704,28.611091851530986]}"
"4274,1593_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.79686745789506,28.628940368544278]}"
"4275,1593_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.81525582873084,28.628940368544278]}"
"4276,1593_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.83256253069393,28.628940368544278]}"
"4277,1593_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85095090152971,28.628940368544278]}"
"4278,1593_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.86825760349281,28.628940368544278]}"
"4279,1593_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.88664597432859,28.628940368544278]}"
"4280,1593_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.90503434516437,28.628940368544278]}"
"4281,1593_0",23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.92234104712747,28.628940368544278]}"
"4282,1593_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94072941796324,28.628940368544278]}"
"4283,1593_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95803611992633,28.628940368544278]}"
"4284,1593_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.97642449076211,28.628940368544278]}"
"4285,1593_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9948128615979,28.628940368544278]}"
"4286,1593_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.01211956356097,28.628940368544278]}"
"4287,1593_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03050793439677,28.628940368544278]}"
"4288,1593_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04781463635985,28.628940368544278]}"
"4289,1593_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.06620300719563,28.628940368544278]}"
"4290,1593_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0845913780314,28.628940368544278]}"
"4291,1593_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.10189807999448,28.628940368544278]}"
"4292,1593_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12028645083028,28.628940368544278]}"
"4293,1593_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13867482166606,28.628940368544278]}"
"4294,1593_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.15598152362915,28.628940368544278]}"
"4295,1593_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17436989446492,28.628940368544278]}"
"4296,1593_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.19167659642801,28.628940368544278]}"
"4297,1593_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.2100649672638,28.628940368544278]}"
"4298,1593_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.22845333809958,28.628940368544278]}"
"4299,1593_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.24576004006266,28.628940368544278]}"
