system:index,urban_class,.geo
"4293,1581_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13825945951082,28.413984451575143]}"
"4294,1581_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.15662455429913,28.413984451575143]}"
"4295,1581_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17390934939401,28.413984451575143]}"
"4296,1581_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.19227444418232,28.413984451575143]}"
"4297,1581_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21063953897061,28.413984451575143]}"
"4298,1581_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.22792433406549,28.413984451575143]}"
"4299,1581_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.2462894288538,28.413984451575143]}"
"4300,1581_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.26465452364211,28.413984451575143]}"
"4301,1581_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.28193931873699,28.413984451575143]}"
"4302,1581_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.3003044135253,28.413984451575143]}"
"4303,1581_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.31758920862016,28.413984451575143]}"
"4304,1581_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33595430340847,28.413984451575143]}"
"4305,1581_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.35431939819678,28.413984451575143]}"
"4306,1581_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.37160419329166,28.413984451575143]}"
"4307,1581_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38996928807997,28.413984451575143]}"
"4308,1581_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.40833438286828,28.413984451575143]}"
"4274,1582_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.79735985697899,28.431820334137658]}"
"4275,1582_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.81464646119686,28.431820334137658]}"
"4276,1582_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.83301347817833,28.431820334137658]}"
"4277,1582_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85138049515979,28.431820334137658]}"
"4278,1582_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.86866709937766,28.431820334137658]}"
"4279,1582_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.88703411635913,28.431820334137658]}"
"4280,1582_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.90432072057699,28.431820334137658]}"
"4281,1582_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.92268773755846,28.431820334137658]}"
"4282,1582_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94105475453993,28.431820334137658]}"
"4283,1582_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95834135875779,28.431820334137658]}"
"4284,1582_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.97670837573926,28.431820334137658]}"
"4285,1582_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.99507539272075,28.431820334137658]}"
"4286,1582_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0123619969386,28.431820334137658]}"
"4287,1582_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03072901392007,28.431820334137658]}"
"4288,1582_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04909603090155,28.431820334137658]}"
"4289,1582_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.06638263511941,28.431820334137658]}"
"4290,1582_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08474965210087,28.431820334137658]}"
"4291,1582_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.10203625631874,28.431820334137658]}"
"4292,1582_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12040327330021,28.431820334137658]}"
"4293,1582_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13877029028168,28.431820334137658]}"
"4294,1582_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.15605689449954,28.431820334137658]}"
"4295,1582_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17442391148103,28.431820334137658]}"
"4296,1582_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1927909284625,28.431820334137658]}"
"4297,1582_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21007753268034,28.431820334137658]}"
"4298,1582_0",23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.22844454966182,28.431820334137658]}"
"4299,1582_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.24573115387967,28.431820334137658]}"
"4300,1582_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.26409817086115,28.431820334137658]}"
"4301,1582_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.28246518784262,28.431820334137658]}"
"4302,1582_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.29975179206048,28.431820334137658]}"
"4303,1582_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.31811880904196,28.431820334137658]}"
"4304,1582_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33648582602342,28.431820334137658]}"
"4305,1582_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.35377243024129,28.431820334137658]}"
"4306,1582_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.37213944722278,28.431820334137658]}"
"4307,1582_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38942605144062,28.431820334137658]}"
"4308,1582_0",22,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.4077930684221,28.431820334137658]}"
"4274,1583_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.79676025430487,28.449657355424918]}"
"4275,1583_0",23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.81512919525083,28.449657355424918]}"
"4276,1583_0",23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.83241761025882,28.449657355424918]}"
"4277,1583_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85078655120478,28.449657355424918]}"
"4278,1583_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.86915549215074,28.449657355424918]}"
"4279,1583_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.88644390715871,28.449657355424918]}"
"4280,1583_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.90481284810467,28.449657355424918]}"
"4281,1583_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.92318178905064,28.449657355424918]}"
"4282,1583_0",23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94047020405861,28.449657355424918]}"
"4283,1583_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95883914500457,28.449657355424918]}"
"4284,1583_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.97612756001254,28.449657355424918]}"
"4285,1583_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9944965009585,28.449657355424918]}"
"4286,1583_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.01286544190447,28.449657355424918]}"
"4287,1583_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03015385691246,28.449657355424918]}"
"4288,1583_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04852279785842,28.449657355424918]}"
"4289,1583_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.06689173880439,28.449657355424918]}"
"4290,1583_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08418015381235,28.449657355424918]}"
"4291,1583_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.10254909475832,28.449657355424918]}"
"4292,1583_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1198375097663,28.449657355424918]}"
"4293,1583_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13820645071226,28.449657355424918]}"
"4294,1583_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.15657539165822,28.449657355424918]}"
"4295,1583_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17386380666619,28.449657355424918]}"
"4296,1583_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.19223274761215,28.449657355424918]}"
"4297,1583_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21060168855813,28.449657355424918]}"
"4298,1583_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.2278901035661,28.449657355424918]}"
"4299,1583_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.24625904451206,28.449657355424918]}"
"4300,1583_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.26462798545803,28.449657355424918]}"
"4301,1583_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.28191640046599,28.449657355424918]}"
"4302,1583_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30028534141195,28.449657355424918]}"
"4303,1583_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.31757375641995,28.449657355424918]}"
"4304,1583_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33594269736591,28.449657355424918]}"
"4305,1583_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.35431163831187,28.449657355424918]}"
"4306,1583_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.37160005331984,28.449657355424918]}"
"4307,1583_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.3899689942658,28.449657355424918]}"
"4308,1583_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.40833793521178,28.449657355424918]}"
"4274,1584_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.79724689069843,28.46749551641251]}"
"4275,1584_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.81453711816498,28.46749551641251]}"
