,lgb,gb,rf,mean_importance
0,1165,0.8137710294211603,0.4824458325849746,388.7654056206687
2,997,0.057292631325796844,0.15267712119959015,332.4033232508418
1,729,0.03163019000804151,0.1808240699828319,243.07081808666362
4,702,0.07755042681384514,0.1311324825855717,234.06956096979982
3,261,0.019755722431156163,0.05292049364703156,87.0242254053594
